Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
110333,APMTH 141R,Computational Music Theory,2,Applied Mathematics,"Chen,Elizabeth R.",23,0,0,0,0,0,0,23
110333,APMTH 141R,Computational Music Theory,3,Applied Mathematics,"Chen,Elizabeth R.",11,1,0,0,0,0,0,12
110333,APMTH 141R,Computational Music Theory,4,Applied Mathematics,"Chen,Elizabeth R.",9,0,0,1,0,0,0,10
110333,APMTH 141R,Computational Music Theory,5,Applied Mathematics,"Chen,Elizabeth R.",1,0,0,0,0,0,0,1
110333,APMTH 141R,Computational Music Theory,6,Applied Mathematics,"Chen,Elizabeth R.",3,0,0,0,0,0,0,3
127561,APMTH 207,Advanced Scientific Computing,1,Applied Mathematics,"Dave,Rahul S",9,44,2,1,0,3,0,59
127196,APMTH 215,"Fundamentals,Bio Signal Proces",1,Applied Mathematics,"Ramanathan,Sharad",4,21,0,0,0,0,0,25
115123,APMTH 21B,Math Methods in the Sciences,1,Applied Mathematics,"Suo,Zhigang",78,1,0,0,0,0,1,80
203548,APMTH 231,Decision Theory,1,Applied Mathematics,"Ba,Demba",7,7,0,0,0,0,0,14
116840,APMTH 299R,Special Topics in Applied Math,1,Applied Mathematics,"Mahadevan,Lakshminarayanan",0,5,0,0,0,0,0,5
116187,APMTH 318,Special Topics in Physical Mat,1,Applied Mathematics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
118975,APMTH 320,Topics in Macroscopic Physics,1,Applied Mathematics,"Mahadevan,Lakshminarayanan",0,10,0,0,0,0,0,10
159776,APMTH 324,Scientific Computation,1,Applied Mathematics,"Rycroft,Christopher",0,8,0,0,0,0,0,8
116297,APMTH 332,Theor Mech in Earth & Eng Sci,1,Applied Mathematics,"Rice,James R.",0,1,0,0,0,0,0,1
122564,APMTH 50,Intro to Applied Mathematics,1,Applied Mathematics,"Levine,Margo S",25,0,0,0,0,0,0,25
121692,APMTH 91R,Supervised Reading and Researc,1,Applied Mathematics,"Levine,Margo S",9,0,0,0,0,0,0,9
115654,APMTH 99R,Thesis Research,1,Applied Mathematics,"Levine,Margo S",7,0,0,0,0,0,0,7
141253,APPHY 216,Electromag Interact with Matte,1,Applied Physics,"Ham,Donhee",3,14,1,0,0,0,0,18
121594,APPHY 218,"Elect, Optic, & Magn Prop of M",1,Applied Physics,"Li,Xin",0,4,0,0,0,0,0,4
124723,APPHY 235,Chemistry in Materials Science,1,Applied Physics,"Aizenberg,Joanna",2,20,1,0,0,0,0,23
116509,APPHY 291,Electron Microscopy Laboratory,1,Applied Physics,"Bell,David C.",0,6,0,0,0,0,0,6
134488,APPHY 292,Kinetics of Condnsd Phase Proc,1,Applied Physics,"Spaepen,Frans A.",0,6,0,0,0,0,0,6
143855,APPHY 295A,Quantum Theory of Solids,1,Applied Physics,"Halperin,Bertrand I.",0,1,0,0,0,0,0,1
131373,APPHY 299R,Special Topics Applied Physics,1,Applied Physics,"Capasso,Federico",0,5,0,0,0,0,0,5
121977,APPHY 302,Applied Condensed Matter Phys,1,Applied Physics,"Ham,Donhee",0,1,0,0,0,0,0,1
123949,APPHY 304,Materials Science of Biologica,1,Applied Physics,"Aizenberg,Joanna",0,9,0,0,0,0,0,9
125476,APPHY 322,Materials Physics and,1,Applied Physics,"Clarke,David",0,4,0,0,0,0,0,4
125472,APPHY 330,Hetero Nano Devices & Bio-temp,1,Applied Physics,"Hu,Evelyn",0,5,0,0,0,0,0,5
146784,APPHY 338,Growth & Properties of Nanostr,1,Applied Physics,"Lieber,Charles M.",0,2,0,0,0,0,0,2
122881,APPHY 342,"Nano-Lasers, Single-Photon Sou",1,Applied Physics,"Loncar,Marko",0,9,0,0,0,0,0,9
109412,APPHY 346,Interdisciplinary Dissertation,1,Applied Physics,"Keith,David",0,2,0,0,0,0,0,2
156736,APPHY 350,Exp Physics in Low Dimen Mater,1,Applied Physics,"Kim,Philip",0,10,0,0,0,0,0,10
156741,APPHY 354,Physics of Bacterial Growth,1,Applied Physics,"Amir,Ariel",0,2,0,0,0,0,0,2
116189,APPHY 356,Special Topics Theoretical Eng,1,Applied Physics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
133140,APPHY 360,Nonlinear Laser Phys & Mater E,1,Applied Physics,"Mazur,Eric",0,7,0,0,0,0,0,7
117862,APPHY 362,"Photonics, Quantm Devices & Na",1,Applied Physics,"Capasso,Federico",0,10,0,0,0,0,0,10
112454,APPHY 364,Exp Soft Condensed Matter,1,Applied Physics,"Weitz,David A.",0,17,0,0,0,0,0,17
113715,APPHY 368,Condensed Matter Physics,1,Applied Physics,"Nelson,David R.",0,2,0,0,0,0,0,2
125419,APPHY 372,Biological Physics and Quant B,1,Applied Physics,"Needleman,Daniel",0,6,0,0,0,0,0,6
126172,APPHY 374,Signaling Processing and Syste,1,Applied Physics,"Ramanathan,Sharad",0,4,0,0,0,0,0,4
110265,APPHY 376,Nonlinear Dynamics of Soft,1,Applied Physics,"Rubinstein,Shmuel",0,5,0,0,0,0,0,5
120887,APPHY 392,Exp Soft Cond Matter & Materia,1,Applied Physics,"Manoharan,Vinothan N",0,7,0,0,0,0,0,7
116593,APPHY 394,Exp Stud of Interfaces Surface,1,Applied Physics,"Friend,Cynthia",0,2,0,0,0,0,0,2
142229,APPHY 396,Topics in Materials Science,1,Applied Physics,"Aziz,Michael J.",0,3,0,0,0,0,0,3
148042,APPHY 398,Materials Science,1,Applied Physics,"Spaepen,Frans A.",0,2,0,0,0,0,0,2
108882,APPHY 50B,Phys Fndtn for Sci & Engr Prt,1,Applied Physics,"Capasso,Federico",80,0,0,0,0,0,0,80
112096,ARABIC 130B,Upper-Level Classical Arabic 2,1,Near Eastern Languages & Civ,"Granara,William",0,1,0,0,0,0,0,1
120127,ARABIC 131B,Upper-Level Modern Arabic II,1,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",8,3,0,3,0,0,0,14
120127,ARABIC 131B,Upper-Level Modern Arabic II,2,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",12,3,0,2,0,0,0,17
